tekst	korpus	tokeni	ttr	recenice	duzina.recenica	leks.gust	ceste.reci	ceste.leme	duzina.recenica.2	leks.gust.2	ceste.reci.2	ceste.leme.2
hrwac.00000074.txt.taglem	hrwac	979	0.538304392237	45	21.7555555556	0.627058823529	0.364705882353	0.417647058824	2	2	2	1
hrwac.00000136.txt.taglem	hrwac	544	0.610294117647	16	34.0	0.624203821656	0.407643312102	0.462845010616	5	2	3	2
hrwac.00000025.txt.taglem	hrwac	582	0.441580756014	30	19.4	0.663066954644	0.343412526998	0.453563714903	1	3	2	2
hrwac.00000037.txt.taglem	hrwac	1766	0.498867497169	71	24.8732394366	0.587138263666	0.397427652733	0.489389067524	3	1	3	3
hrwac.00000087.txt.taglem	hrwac	1138	0.576449912127	42	27.0952380952	0.73361082206	0.278876170656	0.362122788762	4	3	1	1
hrwac.00000021.txt.taglem	hrwac	758	0.594986807388	31	24.4516129032	0.686274509804	0.31221719457	0.417797888386	3	3	1	1
hrwac.00000091.txt.taglem	hrwac	833	0.536614645858	36	23.1388888889	0.509485094851	0.448509485095	0.546070460705	3	1	3	3
hrwac.00000009.txt.taglem	hrwac	525	0.619047619048	20	26.25	0.736725663717	0.298672566372	0.389380530973	4	3	1	1
hrwac.00000076.txt.taglem	hrwac	599	0.582637729549	33	18.1515151515	0.635359116022	0.384898710866	0.469613259669	1	2	3	3
hrwac.00000120.txt.taglem	hrwac	439	0.592255125285	24	18.2916666667	0.667532467532	0.316883116883	0.415584415584	1	3	1	1
hrwac.00000106.txt.taglem	hrwac	1026	0.477582846004	40	25.65	0.72044198895	0.31270718232	0.396685082873	3	3	1	1
hrwac.00000143.txt.taglem	hrwac	438	0.63698630137	21	20.8571428571	0.547738693467	0.429648241206	0.542713567839	2	1	3	3
hrwac.00000080.txt.taglem	hrwac	732	0.521857923497	22	33.2727272727	0.703001579779	0.292259083728	0.429699842022	5	3	1	2
hrwac.00000084.txt.taglem	hrwac	2959	0.414667117269	149	19.8590604027	0.507320933914	0.450336367234	0.551246537396	2	1	3	3
hrwac.00000090.txt.taglem	hrwac	514	0.525291828794	26	19.7692307692	0.677419354839	0.306451612903	0.389400921659	1	3	1	1
hrwac.00000043.txt.taglem	hrwac	1119	0.549597855228	47	23.8085106383	0.569033530572	0.395463510848	0.48224852071	3	1	3	3
hrwac.00000035.txt.taglem	hrwac	1301	0.529592621061	78	16.6794871795	0.525913338997	0.439252336449	0.507221750212	1	1	3	3
hrwac.00000119.txt.taglem	hrwac	7192	0.283926585095	361	19.9224376731	0.630295038734	0.331630130213	0.384704137135	2	2	1	1
hrwac.00000018.txt.taglem	hrwac	511	0.649706457926	16	31.9375	0.585313174946	0.360691144708	0.464362850972	5	1	2	2
hrwac.00000121.txt.taglem	hrwac	407	0.584766584767	18	22.6111111111	0.704225352113	0.312676056338	0.507042253521	2	3	1	3
hrwac.00000061.txt.taglem	hrwac	355	0.656338028169	16	22.1875	0.606349206349	0.380952380952	0.460317460317	2	2	3	2
hrwac.00000081.txt.taglem	hrwac	1039	0.502406159769	50	20.78	0.627856365615	0.363438520131	0.449401523395	2	2	2	2
hrwac.00000115.txt.taglem	hrwac	759	0.584980237154	41	18.512195122	0.75671641791	0.267164179104	0.341791044776	1	3	1	1
hrwac.00000015.txt.taglem	hrwac	451	0.662971175166	17	26.5294117647	0.772020725389	0.269430051813	0.365284974093	4	3	1	1
hrwac.00000064.txt.taglem	hrwac	591	0.619289340102	20	29.55	0.56420233463	0.445525291829	0.540856031128	4	1	3	3
hrwac.00000006.txt.taglem	hrwac	1507	0.493696084937	59	25.5423728814	0.642208774584	0.367624810893	0.460665658094	3	2	2	2
hrwac.00000042.txt.taglem	hrwac	1000	0.574	49	20.4081632653	0.624577226607	0.377677564825	0.448703494927	2	2	2	2
hrwac.00000141.txt.taglem	hrwac	4190	0.434606205251	162	25.8641975309	0.670565832427	0.316104461371	0.40478781284	4	3	1	1
hrwac.00000082.txt.taglem	hrwac	888	0.552927927928	24	37.0	0.584803256445	0.379918588874	0.49118046133	5	1	3	3
hrwac.00000079.txt.taglem	hrwac	730	0.527397260274	30	24.3333333333	0.659442724458	0.349845201238	0.433436532508	3	2	2	2
hrwac.00000088.txt.taglem	hrwac	864	0.578703703704	32	27.0	0.601333333333	0.390666666667	0.461333333333	4	1	3	2
hrwac.00000023.txt.taglem	hrwac	148	0.756756756757	11	13.4545454545	0.71875	0.2890625	0.4296875	1	3	1	2
hrwac.00000123.txt.taglem	hrwac	338	0.64201183432	11	30.7272727273	0.635761589404	0.331125827815	0.397350993377	5	2	1	1
hrwac.00000028.txt.taglem	hrwac	2363	0.412187896741	76	31.0921052632	0.612295488349	0.376301437779	0.503222607833	5	2	2	3
hrwac.00000016.txt.taglem	hrwac	1637	0.485644471594	71	23.0563380282	0.579348579349	0.408177408177	0.488565488565	3	1	3	3
hrwac.00000089.txt.taglem	hrwac	1698	0.533568904594	44	38.5909090909	0.655217109527	0.334413480233	0.413480233312	5	2	1	1
hrwac.00000068.txt.taglem	hrwac	1208	0.506622516556	68	17.7647058824	0.646051379638	0.352997145576	0.421503330162	1	2	2	2
hrwac.00000146.txt.taglem	hrwac	1261	0.530531324346	54	23.3518518519	0.513640639699	0.428033866416	0.516462841016	3	1	3	3
