tekst	korpus	tokeni	tipovi	recenice	duzina.recenice	leks.gust	ceste.reci	ceste.leme
srwac.cyr.00000074.txt.taglem	srwac.cyr	318	184	13	24.4615384615	0.713768115942	0.315217391304	0.391304347826
srwac.cyr.00000025.txt.taglem	srwac.cyr	46	38	3	15.3333333333	0.785714285714	0.285714285714	0.380952380952
srwac.cyr.00000037.txt.taglem	srwac.cyr	261	160	5	52.2	0.626086956522	0.404347826087	0.469565217391
srwac.cyr.00000087.txt.taglem	srwac.cyr	156	124	7	22.2857142857	0.640287769784	0.352517985612	0.453237410072
srwac.cyr.00000021.txt.taglem	srwac.cyr	112	88	4	28.0	0.73786407767	0.252427184466	0.349514563107
srwac.cyr.00000091.txt.taglem	srwac.cyr	80	66	4	20.0	0.666666666667	0.289855072464	0.405797101449
srwac.cyr.00000009.txt.taglem	srwac.cyr	227	156	11	20.6363636364	0.723300970874	0.305825242718	0.388349514563
srwac.cyr.00000076.txt.taglem	srwac.cyr	559	343	32	17.46875	0.572614107884	0.404564315353	0.47510373444
srwac.cyr.00000080.txt.taglem	srwac.cyr	98	72	8	12.25	0.633333333333	0.4	0.455555555556
srwac.cyr.00000084.txt.taglem	srwac.cyr	55	49	2	27.5	0.673076923077	0.326923076923	0.480769230769
srwac.cyr.00000090.txt.taglem	srwac.cyr	261	164	8	32.625	0.737068965517	0.275862068966	0.349137931034
srwac.cyr.00000043.txt.taglem	srwac.cyr	144	108	8	18.0	0.604651162791	0.364341085271	0.457364341085
srwac.cyr.00000035.txt.taglem	srwac.cyr	181	129	8	22.625	0.781818181818	0.260606060606	0.29696969697
srwac.cyr.00000061.txt.taglem	srwac.cyr	113	86	3	37.6666666667	0.701923076923	0.326923076923	0.384615384615
srwac.cyr.00000081.txt.taglem	srwac.cyr	101	66	3	33.6666666667	0.516853932584	0.52808988764	0.573033707865
srwac.cyr.00000015.txt.taglem	srwac.cyr	94	70	2	47.0	0.693181818182	0.340909090909	0.443181818182
srwac.cyr.00000039.txt.taglem	srwac.cyr	111	70	1	111.0	0.77	0.32	0.32
srwac.cyr.00000006.txt.taglem	srwac.cyr	142	104	3	47.3333333333	0.767441860465	0.248062015504	0.294573643411
srwac.cyr.00000042.txt.taglem	srwac.cyr	572	350	23	24.8695652174	0.611439842209	0.384615384615	0.429980276134
srwac.cyr.00000082.txt.taglem	srwac.cyr	103	77	3	34.3333333333	0.712765957447	0.340425531915	0.457446808511
srwac.cyr.00000079.txt.taglem	srwac.cyr	158	107	10	15.8	0.626865671642	0.388059701493	0.455223880597
srwac.cyr.00000088.txt.taglem	srwac.cyr	248	174	10	24.8	0.685185185185	0.319444444444	0.430555555556
srwac.cyr.00000023.txt.taglem	srwac.cyr	195	114	5	39.0	0.615384615385	0.372781065089	0.408284023669
srwac.cyr.00000028.txt.taglem	srwac.cyr	59	49	1	59.0	0.666666666667	0.313725490196	0.470588235294
srwac.cyr.00000089.txt.taglem	srwac.cyr	80	56	5	16.0	0.785714285714	0.228571428571	0.457142857143
srwac.cyr.00000068.txt.taglem	srwac.cyr	365	209	16	22.8125	0.709480122324	0.363914373089	0.495412844037
srwac.cyr.00000031.txt.taglem	srwac.cyr	415	261	11	37.7272727273	0.651296829971	0.345821325648	0.409221902017
srwac.cyr.00000071.txt.taglem	srwac.cyr	77	56	3	25.6666666667	0.681818181818	0.318181818182	0.424242424242
srwac.cyr.00000032.txt.taglem	srwac.cyr	332	193	11	30.1818181818	0.621160409556	0.351535836177	0.378839590444
srwac.cyr.00000070.txt.taglem	srwac.cyr	213	133	5	42.6	0.771739130435	0.244565217391	0.358695652174
srwac.cyr.00000057.txt.taglem	srwac.cyr	182	126	5	36.4	0.777070063694	0.242038216561	0.337579617834
srwac.cyr.00000063.txt.taglem	srwac.cyr	220	140	8	27.5	0.671794871795	0.307692307692	0.369230769231
srwac.cyr.00000096.txt.taglem	srwac.cyr	125	100	4	31.25	0.669565217391	0.330434782609	0.408695652174
srwac.cyr.00000058.txt.taglem	srwac.cyr	94	68	3	31.3333333333	0.686746987952	0.33734939759	0.44578313253
srwac.cyr.00000012.txt.taglem	srwac.cyr	166	125	5	33.2	0.765517241379	0.268965517241	0.358620689655
srwac.cyr.00000050.txt.taglem	srwac.cyr	40	33	2	20.0	0.694444444444	0.277777777778	0.333333333333
srwac.cyr.00000046.txt.taglem	srwac.cyr	334	205	24	13.9166666667	0.729452054795	0.284246575342	0.376712328767
srwac.cyr.00000033.txt.taglem	srwac.cyr	68	54	5	13.6	0.68253968254	0.285714285714	0.365079365079
srwac.cyr.00000072.txt.taglem	srwac.cyr	500	283	16	31.25	0.713024282561	0.344370860927	0.432671081678
srwac.cyr.00000049.txt.taglem	srwac.cyr	139	104	10	13.9	0.762295081967	0.229508196721	0.303278688525
srwac.cyr.00000041.txt.taglem	srwac.cyr	405	236	10	40.5	0.668555240793	0.337110481586	0.419263456091
srwac.cyr.00000065.txt.taglem	srwac.cyr	151	85	6	25.1666666667	0.720930232558	0.31007751938	0.341085271318
srwac.cyr.00000010.txt.taglem	srwac.cyr	338	216	11	30.7272727273	0.686131386861	0.302919708029	0.361313868613
