tekst	korpus	tokeni	tipovi	recenice	duzina.recenice	leks.gust	ceste.reci	ceste.leme
srwac.lat.00000074.txt.taglem	srwac.lat	52	43	3	17.3333333333	0.780487804878	0.268292682927	0.292682926829
srwac.lat.00000025.txt.taglem	srwac.lat	220	142	18	12.2222222222	0.685567010309	0.30412371134	0.355670103093
srwac.lat.00000037.txt.taglem	srwac.lat	59	50	1	59.0	0.625	0.357142857143	0.482142857143
srwac.lat.00000087.txt.taglem	srwac.lat	171	120	7	24.4285714286	0.608974358974	0.365384615385	0.480769230769
srwac.lat.00000021.txt.taglem	srwac.lat	36	33	1	36.0	0.685714285714	0.285714285714	0.342857142857
srwac.lat.00000091.txt.taglem	srwac.lat	125	99	5	25.0	0.728971962617	0.233644859813	0.289719626168
srwac.lat.00000076.txt.taglem	srwac.lat	553	318	19	29.1052631579	0.62017167382	0.407725321888	0.495708154506
srwac.lat.00000080.txt.taglem	srwac.lat	161	102	7	23.0	0.684931506849	0.369863013699	0.472602739726
srwac.lat.00000084.txt.taglem	srwac.lat	352	208	11	32.0	0.708609271523	0.317880794702	0.41059602649
srwac.lat.00000090.txt.taglem	srwac.lat	112	85	6	18.6666666667	0.612244897959	0.34693877551	0.459183673469
srwac.lat.00000043.txt.taglem	srwac.lat	51	40	1	51.0	0.7	0.275	0.325
srwac.lat.00000035.txt.taglem	srwac.lat	250	158	11	22.7272727273	0.562211981567	0.377880184332	0.511520737327
srwac.lat.00000018.txt.taglem	srwac.lat	63	53	3	21.0	0.759259259259	0.240740740741	0.37037037037
srwac.lat.00000081.txt.taglem	srwac.lat	202	136	8	25.25	0.685185185185	0.314814814815	0.401234567901
srwac.lat.00000015.txt.taglem	srwac.lat	562	359	21	26.7619047619	0.622680412371	0.356701030928	0.435051546392
srwac.lat.00000039.txt.taglem	srwac.lat	190	129	7	27.1428571429	0.705521472393	0.263803680982	0.38036809816
srwac.lat.00000064.txt.taglem	srwac.lat	540	234	25	21.6	0.670859538784	0.37106918239	0.46750524109
srwac.lat.00000006.txt.taglem	srwac.lat	261	170	20	13.05	0.628820960699	0.336244541485	0.410480349345
srwac.lat.00000042.txt.taglem	srwac.lat	199	128	8	24.875	0.732954545455	0.306818181818	0.352272727273
srwac.lat.00000079.txt.taglem	srwac.lat	213	111	10	21.3	0.579487179487	0.441025641026	0.584615384615
srwac.lat.00000088.txt.taglem	srwac.lat	171	119	7	24.4285714286	0.712418300654	0.313725490196	0.339869281046
srwac.lat.00000023.txt.taglem	srwac.lat	476	274	16	29.75	0.693779904306	0.299043062201	0.411483253589
srwac.lat.00000028.txt.taglem	srwac.lat	560	299	25	22.4	0.61328125	0.41015625	0.474609375
srwac.lat.00000068.txt.taglem	srwac.lat	35	34	1	35.0	0.6	0.4	0.485714285714
srwac.lat.00000031.txt.taglem	srwac.lat	62	50	4	15.5	0.642857142857	0.392857142857	0.517857142857
srwac.lat.00000059.txt.taglem	srwac.lat	345	219	16	21.5625	0.553797468354	0.427215189873	0.572784810127
srwac.lat.00000032.txt.taglem	srwac.lat	502	309	22	22.8181818182	0.608501118568	0.369127516779	0.472035794183
srwac.lat.00000070.txt.taglem	srwac.lat	176	120	7	25.1428571429	0.701863354037	0.27950310559	0.360248447205
srwac.lat.00000057.txt.taglem	srwac.lat	123	90	5	24.6	0.714285714286	0.258928571429	0.366071428571
srwac.lat.00000063.txt.taglem	srwac.lat	168	102	12	14.0	0.691275167785	0.295302013423	0.348993288591
srwac.lat.00000100.txt.taglem	srwac.lat	547	297	15	36.4666666667	0.639917695473	0.335390946502	0.446502057613
srwac.lat.00000078.txt.taglem	srwac.lat	157	101	3	52.3333333333	0.712121212121	0.325757575758	0.371212121212
srwac.lat.00000058.txt.taglem	srwac.lat	374	244	12	31.1666666667	0.609467455621	0.37573964497	0.5
srwac.lat.00000012.txt.taglem	srwac.lat	404	253	12	33.6666666667	0.594164456233	0.400530503979	0.48275862069
srwac.lat.00000060.txt.taglem	srwac.lat	177	126	10	17.7	0.61038961039	0.363636363636	0.461038961039
srwac.lat.00000075.txt.taglem	srwac.lat	110	85	6	18.3333333333	0.652631578947	0.389473684211	0.442105263158
srwac.lat.00000046.txt.taglem	srwac.lat	91	65	4	22.75	0.693333333333	0.36	0.413333333333
srwac.lat.00000033.txt.taglem	srwac.lat	192	138	10	19.2	0.680981595092	0.361963190184	0.429447852761
srwac.lat.00000072.txt.taglem	srwac.lat	147	108	6	24.5	0.651515151515	0.416666666667	0.484848484848
srwac.lat.00000049.txt.taglem	srwac.lat	62	55	3	20.6666666667	0.694915254237	0.28813559322	0.440677966102
srwac.lat.00000010.txt.taglem	srwac.lat	515	293	30	17.1666666667	0.639658848614	0.362473347548	0.452025586354
srwac.lat.00000044.txt.taglem	srwac.lat	410	209	15	27.3333333333	0.614973262032	0.409090909091	0.510695187166
srwac.lat.00000066.txt.taglem	srwac.lat	76	61	6	12.6666666667	0.691176470588	0.279411764706	0.411764705882
srwac.lat.00000083.txt.taglem	srwac.lat	361	207	10	36.1	0.631097560976	0.381097560976	0.487804878049
srwac.lat.00000011.txt.taglem	srwac.lat	128	96	5	25.6	0.739130434783	0.278260869565	0.330434782609
srwac.lat.00000069.txt.taglem	srwac.lat	274	199	10	27.4	0.658436213992	0.333333333333	0.378600823045
srwac.lat.00000086.txt.taglem	srwac.lat	53	50	3	17.6666666667	0.6875	0.291666666667	0.375
srwac.lat.00000001.txt.taglem	srwac.lat	99	72	5	19.8	0.53488372093	0.43023255814	0.5
srwac.lat.00000030.txt.taglem	srwac.lat	328	200	15	21.8666666667	0.621527777778	0.395833333333	0.524305555556
srwac.lat.00000048.txt.taglem	srwac.lat	301	186	16	18.8125	0.588235294118	0.403921568627	0.439215686275
srwac.lat.00000029.txt.taglem	srwac.lat	442	272	13	34.0	0.679894179894	0.362433862434	0.484126984127
srwac.lat.00000056.txt.taglem	srwac.lat	108	78	8	13.5	0.74	0.25	0.32
srwac.lat.00000026.txt.taglem	srwac.lat	269	140	14	19.2142857143	0.704166666667	0.2875	0.404166666667
srwac.lat.00000027.txt.taglem	srwac.lat	62	48	3	20.6666666667	0.714285714286	0.339285714286	0.410714285714
srwac.lat.00000017.txt.taglem	srwac.lat	176	120	4	44.0	0.655405405405	0.344594594595	0.412162162162
srwac.lat.00000055.txt.taglem	srwac.lat	563	322	18	31.2777777778	0.541582150101	0.438133874239	0.531440162272
srwac.lat.00000022.txt.taglem	srwac.lat	100	76	3	33.3333333333	0.597701149425	0.390804597701	0.459770114943
srwac.lat.00000014.txt.taglem	srwac.lat	50	39	2	25.0	0.5	0.434782608696	0.521739130435
srwac.lat.00000004.txt.taglem	srwac.lat	178	118	6	29.6666666667	0.58282208589	0.38036809816	0.521472392638
srwac.lat.00000095.txt.taglem	srwac.lat	110	82	4	27.5	0.5625	0.4375	0.5
srwac.lat.00000097.txt.taglem	srwac.lat	357	215	18	19.8333333333	0.603715170279	0.356037151703	0.455108359133
srwac.lat.00000036.txt.taglem	srwac.lat	243	156	11	22.0909090909	0.616438356164	0.37899543379	0.438356164384
srwac.lat.00000008.txt.taglem	srwac.lat	377	197	11	34.2727272727	0.783018867925	0.279874213836	0.380503144654
srwac.lat.00000094.txt.taglem	srwac.lat	64	52	2	32.0	0.666666666667	0.316666666667	0.433333333333
srwac.lat.00000002.txt.taglem	srwac.lat	99	80	4	24.75	0.670454545455	0.329545454545	0.397727272727
srwac.lat.00000045.txt.taglem	srwac.lat	84	64	5	16.8	0.671052631579	0.355263157895	0.434210526316
srwac.lat.00000013.txt.taglem	srwac.lat	56	45	3	18.6666666667	0.584905660377	0.377358490566	0.509433962264
srwac.lat.00000024.txt.taglem	srwac.lat	367	229	15	24.4666666667	0.631419939577	0.344410876133	0.474320241692
srwac.lat.00000093.txt.taglem	srwac.lat	335	214	13	25.7692307692	0.617747440273	0.372013651877	0.41638225256
srwac.lat.00000034.txt.taglem	srwac.lat	71	61	3	23.6666666667	0.730158730159	0.285714285714	0.31746031746
srwac.lat.00000052.txt.taglem	srwac.lat	172	116	7	24.5714285714	0.645833333333	0.354166666667	0.4375
srwac.lat.00000053.txt.taglem	srwac.lat	275	183	15	18.3333333333	0.570850202429	0.433198380567	0.514170040486
srwac.lat.00000062.txt.taglem	srwac.lat	161	122	7	23.0	0.718309859155	0.316901408451	0.359154929577
srwac.lat.00000047.txt.taglem	srwac.lat	74	61	2	37.0	0.720588235294	0.308823529412	0.352941176471
srwac.lat.00000040.txt.taglem	srwac.lat	178	111	10	17.8	0.666666666667	0.364197530864	0.358024691358
srwac.lat.00000092.txt.taglem	srwac.lat	131	86	7	18.7142857143	0.703389830508	0.28813559322	0.35593220339
srwac.lat.00000054.txt.taglem	srwac.lat	84	61	6	14.0	0.666666666667	0.361111111111	0.430555555556
