Ispitanik,Grupa,Tacno1,RT1,Tacno2,RT2,Tacno3,RT3,Tacno4,RT4,Tacno5,RT5,Tacno6,RT6
I1p,prva,1,850.5,1,760,1,863.33,0.7,820.14,1,764.4,1,943.8
I2p,prva,1,689.6,0.9,610.33,0.9,717.44,0.6,694.83,1,617.8,0.9,766.89
I3p,prva,1,630.44,1,621.6,1,699.2,0.75,617.33,1,569.3,0.9,610.33
I4p,prva,1,530,1,524,1,624.5,0.7,620.86,1,543.1,0.9,616.78
I6p,prva,1,790.75,0.89,669,0.89,912.5,0.63,963.4,0.89,760.75,0.89,785.13
I7p,prva,1,685.9,0.9,651.22,0.78,664.86,0.6,676,1,629.5,1,804.4
I9p,prva,1,525.5,0.9,514.22,0.9,640,0.7,587.86,1,496.8,0.8,599.13
I11p,prva,0.7,729,0.8,594.5,0.7,646.29,0.7,663.57,0.9,586.67,0.7,696.43
I12p,prva,1,699.56,1,642.5,0.89,764.63,0.75,838.67,1,694.9,0.8,798.38
I13p,prva,0.9,547.67,0.9,720.78,1,780.5,0.9,631.89,1,550.6,0.7,725.86
I14p,prva,1,741.5,1,744.22,0.83,807.8,0.75,924.83,1,674.1,1,745.25
I15p,prva,1,560.7,1,581.1,1,596.22,0.67,587.17,1,533.7,0.8,647.25
I16p,prva,1,711.1,1,730.56,1,915,0.9,733.11,1,680.78,1,928.38
I2d,druga,1,682.1,1,760.8,1,725.6,0.5,835.6,1,709.9,1,743.8
I4d,druga,1,1094,1,826.6,1,1053.889,0.88,1033.714,1,1081.2,1,981.6667
I5d,druga,0.9,887.2222,1,896.8,1,1143.1,1,1003.5,1,876.8,1,1002.667
I6d,druga,1,657.71,1,574.6,0.9,793.8889,0.6,942.8333,1,711.3,0.7,776.2857
I7d,druga,1,964.6,0.9,1133.778,0.9,1203.556,1,1046.7,1,944.9,1,899.4444
I8d,druga,1,697.2222,1,900.2,1,926,0.8,945.625,1,784.4,0.9,1059.889
I10d,druga,1,771.6,1,642.4444,1,929,0.88,952.1429,1,894.9,1,1077.143
I12d,druga,1,936.8889,1,921.2,1,1232,1,1017,1,892.25,1,1218.5
I14d,druga,1,617.4,1,678.7,0.8,648,0.9,711.2222,0.89,619.5,1,680
I15d,druga,1,666.7,0.9,634,0.9,747.8889,0.9,708.4444,1,675.4,1,731.2
