Subject,Group,Cloze,Refl1c,Refl1p,Refl2c,Refl2p,Refl3c,Refl3p
I1,Control-I,35,3,1.25,3,2,3,3
I2,Control-I,37.5,1.75,0.5,2.25,1.75,0.67,2.33
I3,Control-I,37,3,0.5,3,1.5,1,-0.67
I4,Control-I,38.5,3,-1,3,0.5,3,2.67
I5,Control-I,37.5,3,2.25,3,2.5,2.33,3
I6,Control-I,38.5,3,2,3,2.5,2.33,3
I7,Control-I,38,3,2.25,1.75,2.25,2.67,3
I8,Control-I,37.5,3,1.5,3,2.5,3,3
I9,Control-I,38,3,2.25,3,2.75,3,2.67
I10,Control-I,37.5,3,2.75,3,2.25,3,2.33
I11,Control-I,37.5,2.5,1.75,2.75,2.25,2.67,2.67
I12,Control-I,37.5,3,-2.5,3,-0.75,1.33,1.67
I13,Control-I,38.5,3,1,3,1.5,2.67,3
I14,Control-I,37,3,-1,3,0.5,2.67,3
I15,Control-I,36,3,-0.75,3,0.25,3,2.67
I16,Control-I,37.5,2.75,-1.25,1.5,1.25,2.67,3
I17,Control-I,39,3,-3,3,-1.5,0.67,-3
I18,Control-I,36.5,2.75,-0.5,0.5,1.25,2.33,3
I19,Control-I,37.5,3,1,3,0.75,3,3
I20,Control-I,38,3,1.25,1.75,0.75,2.67,3
SL1,SerLI-I,10.5,3,1.33,2,2.33,2,1
SL2,SerLI-I,11.5,3,2.33,2.75,2.75,2,3
SL3,SerLI-I,13,3,-3,2.25,-0.5,1,0.67
SL4,SerLI-I,14,2.67,-0.5,2,1,-1,0.67
SL5,SerLI-I,15,2.75,1.5,2.75,2,3,2.67
SL6,SerLI-I,15,2.75,2,3,2.75,1.33,3
SL7,SerLI-I,15.5,2.33,-1,2,2,2,2
SL8,SerLI-I,16,2.67,-2.33,1,1.25,1.67,3
SL9,SerLI-I,16.5,3,-3,3,0.5,0,0.67
SL10,SerLI-I,17,3,0.33,2.5,1.25,0.67,1
SL11,SerLI-I,18,2.75,1.5,2.67,2.33,2,3
SL12,SerLI-I,18,-0.25,2,2.25,2.75,1,1
SL13,SerLI-I,18,3,-2.67,3,2,1.67,2.33
SL14,SerLI-I,19,3,1.75,3,2,1,3
SL15,SerLI-I,19.5,2.5,1.5,2.75,1,-0.67,2.67
SL16,SerLI-I,19.5,1.25,1.5,1.75,2,-1,1.67
SU1,SerUI-I,20.5,3,1.75,2.75,2,2.33,2.33
SU2,SerUI-I,21.5,3,0.5,2.25,2,1.33,2.33
SU3,SerUI-I,22,2.75,2,3,2,2.33,2.67
SU4,SerUI-I,22,3,1.75,3,0,0.33,2
SU5,SerUI-I,23,1,1.75,2.25,0.5,0.67,2.67
SU6,SerUI-I,23.5,3,-3,3,-0.5,3,2.67
SU7,SerUI-I,24.5,2.25,0.75,1.75,2.25,0.67,2.67
SU8,SerUI-I,24.5,3,1.67,1.25,2,-1.33,-0.67
SU9,SerUI-I,25.5,3,0.5,3,0.75,2.67,1
SU10,SerUI-I,25.5,2.5,0.5,3,1.75,1,3
SU11,SerUI-I,26,3,0.67,1.25,2.5,-0.67,2.67
SU12,SerUI-I,27.5,3,3,2.5,3,0.67,3
SU13,SerUI-I,28,3,1.5,3,2.25,2.67,2.67
SU14,SerUI-I,28,2.5,2,2.25,2.25,1.67,2.33
SU15,SerUI-I,29,2.25,1,1.5,2,-2.67,2.67
SU16,SerUI-I,29,3,1.5,3,2.33,1.67,2
SU17,SerUI-I,30,2.75,1.25,2.75,0.75,2,2.33
EL1,EngLI-I,10.5,1.25,1,1.75,1.75,2,2
EL2,EngLI-I,11.5,3,-0.5,2.33,1,2,2
EL3,EngLI-I,12.5,1.67,-0.33,-0.25,1.5,1.33,0
EL4,EngLI-I,12.5,3,0,3,0.33,3,-0.67
EL5,EngLI-I,15.5,2,0.33,2,1,1.67,1.33
EL6,EngLI-I,16.5,3,1.67,3,3,2.33,3
EL7,EngLI-I,17.5,3,2.75,3,2.5,3,1
EL8,EngLI-I,18,2.67,-1.33,2.5,1.75,2.67,1.33
EL9,EngLI-I,18.5,2.25,-0.33,0.5,-0.5,0.33,0.67
EL10,EngLI-I,19,3,-1.5,3,1.33,3,2
EL11,EngLI-I,20,3,1.75,3,2.5,2.67,2.33
EU1,EngUI-I,20.5,2.5,-0.25,2.75,0.75,2.67,2.33
EU2,EngUI-I,20.5,3,1,3,1.33,3,2
EU3,EngUI-I,22,2.25,1.5,2,1.25,2.33,1.67
EU4,EngUI-I,22.5,3,2.25,2.5,1.5,2.67,1
EU5,EngUI-I,23.5,2.75,2.75,3,2.67,3,2.33
EU6,EngUI-I,24.5,2,0.75,1.75,0.75,1.67,0.67
EU7,EngUI-I,25.5,3,2.67,2.75,3,2.67,3
EU8,EngUI-I,25.5,2.75,-1.5,2.5,1.25,3,3
EU9,EngUI-I,26.5,3,0,3,1,-1,2
EU10,EngUI-I,26.5,2.5,1,2.25,0.75,2,1.67
EU11,EngUI-I,27.5,2.75,-1,2.5,0.25,2.67,0.33
EU12,EngUI-I,28.5,3,-0.75,3,-1.75,3,1.33
EU13,EngUI-I,28.5,3,-3,3,2.75,3,1
EU14,EngUI-I,30,3,1.25,2.75,1,3,2
